model,scenario,method,forget_activation_distance_mean,forget_activation_distance_std,retain_activation_distance_mean,retain_activation_distance_std,mia_difference_mean,mia_difference_std
ResNet18,fullclass,FT,0.68,0.01,1.04,0.00,-0.05,0.01
ResNet18,fullclass,BadT,0.49,0.01,1.00,0.00,-0.05,0.01
ResNet18,fullclass,UNSIR,0.96,0.02,1.04,0.00,-0.00,0.03
ResNet18,fullclass,RL,0.99,0.01,1.05,0.00,0.04,0.02
ResNet18,fullclass,SSD,0.63,0.04,0.97,0.02,0.01,0.07
ResNet18,fullclass,LFSSD,0.60,0.01,0.97,0.01,-0.03,0.01
ResNet18,random,FT,0.33,0.11,0.98,0.15,-0.06,0.18
ResNet18,random,BadT,0.64,0.13,0.83,0.19,-0.01,0.21
ResNet18,random,RL,0.78,0.35,0.96,0.19,0.06,0.19
ResNet18,random,SSD,0.90,0.20,0.67,0.19,-0.06,0.18
ResNet18,random,LFSSD,0.87,0.11,0.72,0.14,-0.06,0.18
ViT,fullclass,FT,0.56,0.03,0.32,0.20,0.04,0.08
ViT,fullclass,BadT,0.48,0.01,0.14,0.00,-0.00,0.00
ViT,fullclass,UNSIR,0.61,0.03,0.13,0.01,0.00,0.00
ViT,fullclass,RL,0.81,0.03,0.11,0.00,0.01,0.00
ViT,fullclass,SSD,0.42,0.02,0.19,0.02,-0.00,0.00
ViT,fullclass,LFSSD,0.48,0.01,0.28,0.05,-0.00,0.00
ViT,random,FT,0.32,0.09,0.23,0.01,0.00,0.00
ViT,random,BadT,0.36,0.08,0.16,0.01,0.19,0.05
ViT,random,RL,1.02,0.08,0.23,0.01,0.01,0.04
ViT,random,SSD,0.63,0.25,0.61,0.33,0.00,0.00
ViT,random,LFSSD,0.84,0.04,0.87,0.02,0.00,0.00
