model,scenario,method,forget_accuracy_difference_mean,forget_accuracy_difference_std,retain_accuracy_difference_mean,retain_accuracy_difference_std,layer_distance_mean,layer_distance_std
ResNet18,fullclass,FT,29.22,5.21,2.52,0.11,31.52,0.22
ResNet18,fullclass,BadT,0.26,0.17,-2.35,0.27,31.72,0.34
ResNet18,fullclass,UNSIR,89.44,1.98,2.51,0.12,32.25,0.34
ResNet18,fullclass,RL,0.00,0.00,2.58,0.12,31.98,0.34
ResNet18,fullclass,SSD,1.97,6.22,-9.14,7.43,31.55,0.36
ResNet18,fullclass,LFSSD,0.00,0.00,-3.66,1.53,31.56,0.34
ResNet18,random,FT,2.78,24.32,-2.60,15.25,37.70,7.91
ResNet18,random,BadT,-35.00,25.93,-32.47,29.83,41.99,8.78
ResNet18,random,RL,-48.89,34.03,-4.59,20.12,42.11,8.72
ResNet18,random,SSD,-75.00,19.47,-79.97,23.79,40.25,9.06
ResNet18,random,LFSSD,-68.33,15.28,-58.61,19.20,40.82,8.72
ViT,fullclass,FT,0.03,0.06,-22.66,23.47,105.29,1.31
ViT,fullclass,BadT,17.90,5.18,-0.88,0.10,33.97,0.12
ViT,fullclass,UNSIR,35.52,4.92,-0.31,0.13,39.38,0.18
ViT,fullclass,RL,0.00,0.00,0.20,0.05,36.92,0.18
ViT,fullclass,SSD,0.00,0.00,-2.40,0.99,63.38,2.58
ViT,fullclass,LFSSD,0.00,0.00,-3.88,2.11,86.77,6.07
ViT,random,FT,8.33,5.40,1.42,0.12,60.40,0.19
ViT,random,BadT,-8.33,7.97,0.21,0.52,32.76,0.18
ViT,random,RL,-76.67,11.94,1.33,0.12,35.71,0.20
ViT,random,SSD,-55.00,37.99,-54.09,45.60,171.80,84.31
ViT,random,LFSSD,-89.44,6.11,-90.70,6.59,231.91,15.22
