model,scenario,method,forget_accuracy_mean,forget_accuracy_std,retain_accuracy_mean,retain_accuracy_std,mia_mean,mia_std
ResNet18,fullclass,Retrain,0.00,0.00,97.41,0.12,0.05,0.01
ResNet18,fullclass,FT,29.22,5.21,99.94,0.07,0.00,0.00
ResNet18,fullclass,BadT,0.26,0.17,95.07,0.30,0.00,0.00
ResNet18,fullclass,UNSIR,89.44,1.98,99.93,0.01,0.04,0.03
ResNet18,fullclass,RL,0.00,0.00,100.00,0.00,0.08,0.02
ResNet18,fullclass,SSD,1.97,6.22,88.28,7.41,0.06,0.07
ResNet18,fullclass,LFSSD,0.00,0.00,93.76,1.54,0.02,0.01
ResNet18,random,Retrain,88.33,8.47,97.69,0.22,0.06,0.18
ResNet18,random,FT,91.11,20.65,95.09,15.30,0.00,0.00
ResNet18,random,BadT,53.33,24.60,65.23,29.78,0.04,0.08
ResNet18,random,RL,39.44,37.45,93.10,20.16,0.12,0.13
ResNet18,random,SSD,13.33,21.63,17.73,23.72,0.00,0.00
ResNet18,random,LFSSD,20.00,15.09,39.09,19.16,0.00,0.00
ViT,fullclass,Retrain,0.00,0.00,99.78,0.03,0.00,0.00
ViT,fullclass,FT,0.03,0.06,77.12,23.47,0.04,0.08
ViT,fullclass,BadT,17.90,5.18,98.90,0.11,0.00,0.00
ViT,fullclass,UNSIR,35.52,4.92,99.47,0.13,0.00,0.00
ViT,fullclass,RL,0.00,0.00,99.98,0.02,0.02,0.00
ViT,fullclass,SSD,0.00,0.00,97.38,1.00,0.00,0.00
ViT,fullclass,LFSSD,0.00,0.00,95.90,2.09,0.00,0.00
ViT,random,Retrain,90.00,5.74,98.58,0.13,0.00,0.00
ViT,random,FT,98.33,3.75,100.00,0.00,0.00,0.00
ViT,random,BadT,81.67,7.43,98.79,0.62,0.19,0.05
ViT,random,RL,13.33,8.36,99.91,0.01,0.01,0.04
ViT,random,SSD,35.00,40.83,44.49,45.61,0.00,0.00
ViT,random,LFSSD,0.56,1.76,7.89,6.59,0.00,0.00
